Time [s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
11:35:14.288,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.298,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.308,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.318,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.328,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.338,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.348,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.358,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.368,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.378,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.388,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.398,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.408,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.418,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.428,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.438,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.448,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.458,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.468,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.478,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.488,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.498,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.508,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:14.518,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
